namelsad10,All Requests,Aircraft Noise Complaint,Pothole in Street Complaint,Rodent Baiting/Rat Complaint,Weed Removal Request,Street Light Out Complaint,Graffiti Removal Request
Census Tract 2406,705,,100,33.0,5.0,17.0,163.0
Census Tract 2407,575,,33,64.0,4.0,45.0,116.0
Census Tract 2408,740,,56,55.0,3.0,46.0,241.0
Census Tract 2409,1167,,170,15.0,6.0,86.0,212.0
Census Tract 2410,787,,71,49.0,6.0,45.0,105.0
Census Tract 2411,1805,1.0,211,126.0,4.0,110.0,287.0
Census Tract 2412,957,1.0,189,103.0,,52.0,148.0
Census Tract 2413,625,,49,62.0,10.0,56.0,70.0
Census Tract 2414,3476,,211,102.0,9.0,280.0,1415.0
Census Tract 2415,2314,,125,170.0,2.0,163.0,952.0
Census Tract 2416,1437,,163,179.0,4.0,168.0,196.0
Census Tract 2420,1819,,159,211.0,8.0,131.0,220.0
Census Tract 2421,1547,3.0,177,87.0,5.0,148.0,162.0
Census Tract 2422,1471,,85,124.0,9.0,130.0,258.0
Census Tract 2423,1375,,103,147.0,11.0,96.0,212.0
Census Tract 2424,1446,,150,204.0,1.0,130.0,197.0
Census Tract 2425,1385,,124,81.0,12.0,89.0,240.0
Census Tract 2426,2154,,86,110.0,19.0,175.0,388.0
Census Tract 2427,695,,43,60.0,3.0,63.0,102.0
Census Tract 2428,1005,2.0,172,44.0,15.0,41.0,216.0
Census Tract 2429,1281,,124,134.0,20.0,160.0,144.0
Census Tract 2430,1301,,132,110.0,7.0,174.0,152.0
Census Tract 2431,1308,,108,141.0,6.0,188.0,201.0
Census Tract 2432,1278,,105,113.0,18.0,130.0,187.0
Census Tract 2433,1248,,99,185.0,12.0,124.0,122.0
Census Tract 2434,1725,2.0,136,329.0,3.0,155.0,147.0
Census Tract 2435,2038,,260,28.0,34.0,176.0,456.0
Census Tract 2502,1384,,120,47.0,70.0,173.0,31.0
Census Tract 2503,2018,,155,121.0,56.0,176.0,32.0
Census Tract 2504,2610,,396,78.0,85.0,272.0,68.0
Census Tract 2505,3680,2.0,404,67.0,29.0,524.0,58.0
Census Tract 2506,1968,,212,119.0,107.0,210.0,45.0
Census Tract 2507,2623,,219,160.0,43.0,222.0,69.0
Census Tract 2508,1307,,94,49.0,39.0,88.0,30.0
Census Tract 2510,816,,82,41.0,117.0,60.0,53.0
Census Tract 2511,1838,,116,73.0,283.0,116.0,24.0
Census Tract 2512,2732,,249,174.0,289.0,226.0,25.0
Census Tract 2513,2241,,158,75.0,244.0,278.0,46.0
Census Tract 2514,1766,36.0,139,64.0,308.0,207.0,23.0
Census Tract 2515,2256,3.0,151,118.0,487.0,112.0,25.0
Census Tract 2516,2237,1.0,119,93.0,558.0,213.0,6.0
Census Tract 2517,1373,1.0,55,38.0,489.0,62.0,20.0
Census Tract 2518,3001,11.0,159,173.0,572.0,294.0,59.0
Census Tract 2519,2563,8.0,194,136.0,670.0,164.0,15.0
Census Tract 2520,2133,17.0,195,144.0,230.0,221.0,19.0
Census Tract 2521.01,706,10.0,63,37.0,36.0,31.0,4.0
Census Tract 2521.02,2179,19.0,146,40.0,342.0,153.0,5.0
Census Tract 2522.01,1194,9.0,85,96.0,62.0,49.0,4.0
Census Tract 2522.02,2509,18.0,136,65.0,568.0,143.0,23.0
Census Tract 2601,1358,2.0,48,46.0,486.0,89.0,40.0
Census Tract 2602,1302,3.0,49,69.0,392.0,125.0,92.0
Census Tract 2603,1086,1.0,55,21.0,269.0,104.0,32.0
Census Tract 2604,1072,4.0,92,60.0,267.0,129.0,30.0
Census Tract 2605,1459,7.0,88,49.0,382.0,124.0,12.0
Census Tract 2606,1615,1.0,23,49.0,488.0,136.0,8.0
Census Tract 2607,1794,4.0,59,35.0,670.0,107.0,27.0
Census Tract 2608,1636,6.0,98,59.0,343.0,135.0,36.0
Census Tract 2609,907,1.0,28,72.0,279.0,61.0,16.0
Census Tract 2610,2084,2.0,91,83.0,792.0,170.0,32.0
Census Tract 2705,797,,57,33.0,159.0,50.0,23.0
Census Tract 2712,1640,,126,81.0,586.0,135.0,32.0
Census Tract 2713,741,1.0,65,70.0,202.0,34.0,18.0
Census Tract 2714,790,3.0,51,35.0,219.0,62.0,2.0
Census Tract 2715,573,1.0,57,33.0,149.0,50.0,12.0
Census Tract 2718,821,,29,26.0,286.0,67.0,18.0
Census Tract 2801,3314,1696.0,152,16.0,7.0,96.0,290.0
Census Tract 2804,760,2.0,76,11.0,39.0,97.0,202.0
Census Tract 2808,629,3.0,93,35.0,137.0,43.0,30.0
Census Tract 2809,514,1.0,58,15.0,80.0,78.0,70.0
Census Tract 2819,1266,,104,28.0,6.0,85.0,160.0
Census Tract 2827,1447,16.0,157,115.0,48.0,118.0,254.0
Census Tract 2828,828,1.0,53,51.0,11.0,88.0,174.0
Census Tract 2831,906,,129,34.0,7.0,63.0,26.0
Census Tract 2832,539,,54,58.0,2.0,39.0,37.0
Census Tract 2838,532,,155,24.0,3.0,41.0,73.0
Census Tract 2909,4154,1.0,158,93.0,2250.0,189.0,92.0
Census Tract 2912,1662,,20,94.0,831.0,94.0,27.0
Census Tract 2916,426,,44,20.0,10.0,5.0,75.0
Census Tract 2922,2670,,124,138.0,1077.0,125.0,36.0
Census Tract 2924,1511,,61,32.0,666.0,98.0,52.0
Census Tract 2925,2273,1.0,155,77.0,449.0,291.0,66.0
Census Tract 3005,1084,,115,130.0,21.0,97.0,195.0
Census Tract 3006,1672,1.0,202,167.0,46.0,142.0,275.0
Census Tract 3007,1745,,131,185.0,14.0,128.0,310.0
Census Tract 3008,1595,1.0,88,169.0,1.0,90.0,397.0
Census Tract 3009,1687,,94,43.0,4.0,116.0,437.0
Census Tract 301.01,570,,130,35.0,,11.0,73.0
Census Tract 301.02,572,5.0,135,21.0,,33.0,107.0
Census Tract 301.03,312,1.0,89,36.0,1.0,15.0,32.0
Census Tract 301.04,239,,46,6.0,,17.0,53.0
Census Tract 3011,985,,25,54.0,,96.0,343.0
Census Tract 3012,1975,,115,61.0,37.0,89.0,676.0
Census Tract 3016,1459,,127,162.0,12.0,115.0,170.0
Census Tract 3017.01,1507,,108,133.0,,140.0,310.0
Census Tract 3017.02,1597,1.0,158,99.0,6.0,100.0,430.0
Census Tract 3018.01,1633,,123,94.0,19.0,143.0,417.0
Census Tract 3018.02,1937,,114,72.0,16.0,257.0,710.0
Census Tract 3018.03,1744,,124,110.0,13.0,163.0,587.0
Census Tract 302,2965,1.0,291,141.0,,325.0,363.0
Census Tract 303,1505,1.0,141,125.0,5.0,196.0,109.0
Census Tract 304,1263,21.0,145,52.0,5.0,125.0,84.0
Census Tract 305,2603,2.0,145,224.0,4.0,248.0,326.0
Census Tract 306.01,771,,187,79.0,5.0,18.0,66.0
Census Tract 306.03,623,,68,41.0,,40.0,169.0
Census Tract 306.04,632,,170,22.0,2.0,54.0,15.0
Census Tract 307.01,313,,10,25.0,,12.0,100.0
Census Tract 307.02,41,,7,,,7.0,
Census Tract 307.03,757,,28,68.0,,47.0,210.0
Census Tract 307.06,671,,86,14.0,,53.0,77.0
Census Tract 308,2240,4.0,133,77.0,1.0,107.0,261.0
Census Tract 309,1517,3.0,194,60.0,1.0,113.0,127.0
