namelsad10,Number_of_Requests,Household_Income,color
Census Tract 408,972,13354,#64acbe
Census Tract 409,1013,21816,#64acbe
Census Tract 4101,388,9971,#b0d5df
Census Tract 4102,211,24241,#64acbe
Census Tract 4105,569,13229,#64acbe
Census Tract 4106,478,10575,#b0d5df
Census Tract 4107,509,18544,#64acbe
Census Tract 4108,792,8942,#b0d5df
Census Tract 4109,628,11508,#b0d5df
Census Tract 4110,832,49219,#64acbe
Census Tract 4111,549,15704,#64acbe
Census Tract 4112,603,34222,#64acbe
Census Tract 4201,315,7811,#e8e8e8
Census Tract 4202,458,6323,#e8e8e8
Census Tract 4203,581,12345,#b0d5df
Census Tract 4204,374,18577,#64acbe
Census Tract 4205,868,6503,#e8e8e8
Census Tract 4206,1052,4684,#e8e8e8
Census Tract 4207,2907,10006,#985356
Census Tract 4208,1296,8572,#ad9ea5
Census Tract 4212,990,8317,#b0d5df
Census Tract 4301.01,1325,14284,#627f8c
Census Tract 4301.02,802,6753,#e8e8e8
Census Tract 4302,1788,21969,#627f8c
Census Tract 4303,1566,5847,#e4acac
Census Tract 4304,2059,5904,#c85a5a
Census Tract 4305,1465,6458,#e4acac
Census Tract 4306,865,13410,#64acbe
Census Tract 4307,611,20903,#64acbe
Census Tract 4308,1120,10567,#b0d5df
Census Tract 4309,843,8948,#b0d5df
Census Tract 4312,1872,13245,#627f8c
Census Tract 4313.01,1394,5240,#e4acac
Census Tract 4313.02,1489,7789,#e4acac
Census Tract 4314,1799,5173,#e4acac
Census Tract 4401.01,1863,4667,#e4acac
Census Tract 4401.02,1743,5155,#e4acac
Census Tract 4402.01,2284,15097,#574249
Census Tract 4402.02,1843,6163,#e4acac
Census Tract 4403,3550,6718,#c85a5a
Census Tract 4406,1782,13518,#627f8c
Census Tract 4407,1138,7243,#e8e8e8
Census Tract 4408,874,6645,#e8e8e8
Census Tract 4409,2090,9009,#985356
Census Tract 4503,3031,10161,#985356
Census Tract 4601,2180,17256,#574249
Census Tract 4602,1873,7465,#e4acac
Census Tract 4603.01,1987,6550,#c85a5a
Census Tract 4603.02,2353,8367,#985356
Census Tract 4604,1858,7107,#e4acac
Census Tract 4605,3861,7338,#c85a5a
Census Tract 4606,681,7142,#e8e8e8
Census Tract 4607,1366,6415,#e4acac
Census Tract 4610,1140,5187,#e8e8e8
Census Tract 4701,2682,7678,#c85a5a
Census Tract 4801,1702,7403,#e4acac
Census Tract 4802,788,8551,#b0d5df
Census Tract 4803,1040,19495,#64acbe
Census Tract 4804,4180,10105,#985356
Census Tract 4805,2609,9527,#985356
Census Tract 4903,1934,6816,#e4acac
Census Tract 4904,618,10385,#b0d5df
Census Tract 4905,1739,11962,#ad9ea5
Census Tract 4906,1523,8251,#ad9ea5
Census Tract 4907,2226,8051,#c85a5a
Census Tract 4908,2844,15448,#574249
Census Tract 4909.01,2398,13315,#574249
Census Tract 4909.02,4221,7007,#c85a5a
Census Tract 4910,5807,6707,#c85a5a
Census Tract 4911,3948,44712,#574249
Census Tract 4912,1698,10241,#ad9ea5
Census Tract 4913,2879,9173,#985356
Census Tract 4914,2245,6427,#c85a5a
Census Tract 5001,1948,7015,#e4acac
Census Tract 5002,1321,7235,#e4acac
Census Tract 5003,1126,12427,#b0d5df
Census Tract 501,1196,22009,#627f8c
Census Tract 502,2641,22499,#574249
Census Tract 503,1535,15114,#627f8c
